last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,date
2020-01-03 11:12:20,Z,AAPL,298.22,2.0,298.24,2.0,1.0,0.0,2020-01-03 11:12:20.191245,298.25,298.28,1,2020-01-03
2020-01-03 11:12:25,N,AAPL,298.25,4.0,298.28,2.0,2.0,0.0,2020-01-03 11:12:25.005693,298.28,298.31,0,2020-01-03
2020-01-03 11:12:30,K,AAPL,298.28,2.0,298.31,3.0,-1.0,0.0,2020-01-03 11:12:30.023251,298.33,298.36,1,2020-01-03
2020-01-03 11:12:35,N,AAPL,298.33,3.0,298.36,2.0,1.0,0.0,2020-01-03 11:12:35.036671,298.39,298.41,1,2020-01-03
2020-01-03 11:12:40,Z,AAPL,298.39,1.0,298.41,1.0,0.0,0.0,2020-01-03 11:12:40.012199,298.37,298.4,0,2020-01-03
2020-01-03 11:12:45,Q,AAPL,298.37,1.0,298.4,2.0,-4.0,0.0,2020-01-03 11:12:45.084897,298.33,298.36,-1,2020-01-03
2020-01-03 11:12:50,P,AAPL,298.33,1.0,298.36,5.0,0.0,3.0,2020-01-03 11:12:50.034706,298.35,298.37,0,2020-01-03
2020-01-03 11:12:55,Z,AAPL,298.35,1.0,298.37,1.0,0.0,-1.0,2020-01-03 11:12:55.737786,298.31,298.34,-1,2020-01-03
2020-01-03 11:13:00,N,AAPL,298.31,4.0,298.34,4.0,0.0,3.0,2020-01-03 11:13:00.021109,298.27,298.3,-1,2020-01-03
2020-01-03 11:13:05,Z,AAPL,298.27,3.0,298.3,9.0,1.0,0.0,2020-01-03 11:13:05.049240,298.37,298.4,1,2020-01-03
2020-01-03 11:13:10,Z,AAPL,298.37,6.0,298.4,1.0,0.0,-1.0,2020-01-03 11:13:11.756002,298.35,298.4,0,2020-01-03
2020-01-03 11:13:15,N,AAPL,298.35,3.0,298.4,5.0,0.0,4.0,2020-01-03 11:13:15.008447,298.4,298.43,0,2020-01-03
2020-01-03 11:13:20,Z,AAPL,298.4,3.0,298.43,1.0,1.0,0.0,2020-01-03 11:13:20.310074,298.36,298.38,-1,2020-01-03
2020-01-03 11:13:25,N,AAPL,298.36,1.0,298.38,4.0,-1.0,2.0,2020-01-03 11:13:25.636609,298.34,298.36,0,2020-01-03
2020-01-03 11:13:30,B,AAPL,298.34,1.0,298.36,1.0,-4.0,0.0,2020-01-03 11:13:30.080996,298.41,298.43,1,2020-01-03
2020-01-03 11:13:35,Q,AAPL,298.41,2.0,298.43,3.0,1.0,0.0,2020-01-03 11:13:35.174487,298.44,298.47,1,2020-01-03
2020-01-03 11:13:40,Z,AAPL,298.44,3.0,298.47,2.0,2.0,0.0,2020-01-03 11:13:40.117960,298.42,298.45,0,2020-01-03
2020-01-03 11:13:45,Z,AAPL,298.42,2.0,298.45,3.0,0.0,1.0,2020-01-03 11:13:45.345305,298.45,298.48,0,2020-01-03
2020-01-03 11:13:50,Z,AAPL,298.45,2.0,298.48,3.0,0.0,-33.0,2020-01-03 11:13:50.078803,298.46,298.48,0,2020-01-03
2020-01-03 11:13:55,P,AAPL,298.46,12.0,298.48,9.0,2.0,0.0,2020-01-03 11:13:55.383988,298.49,298.52,1,2020-01-03
2020-01-03 11:14:00,Z,AAPL,298.49,2.0,298.52,1.0,0.0,0.0,2020-01-03 11:14:00.665218,298.53,298.55,1,2020-01-03
2020-01-03 11:14:05,Z,AAPL,298.53,1.0,298.55,1.0,0.0,-1.0,2020-01-03 11:14:05.125962,298.52,298.56,0,2020-01-03
2020-01-03 11:14:10,Z,AAPL,298.52,2.0,298.56,2.0,0.0,0.0,2020-01-03 11:14:10.066732,298.57,298.6,1,2020-01-03
2020-01-03 11:14:15,K,AAPL,298.57,1.0,298.6,301.0,0.0,300.0,2020-01-03 11:14:15.000525,298.54,298.56,-1,2020-01-03
2020-01-03 11:14:20,B,AAPL,298.54,2.0,298.56,2.0,0.0,1.0,2020-01-03 11:14:20.079174,298.55,298.57,0,2020-01-03
2020-01-03 11:14:25,P,AAPL,298.55,2.0,298.57,1.0,1.0,0.0,2020-01-03 11:14:25.491991,298.55,298.58,0,2020-01-03
2020-01-03 11:14:30,N,AAPL,298.55,3.0,298.58,3.0,1.0,0.0,2020-01-03 11:14:31.483961,298.54,298.56,0,2020-01-03
2020-01-03 11:14:35,K,AAPL,298.54,3.0,298.56,1.0,0.0,0.0,2020-01-03 11:14:35.186515,298.46,298.49,-1,2020-01-03
2020-01-03 11:14:40,N,AAPL,298.46,4.0,298.49,1.0,0.0,0.0,2020-01-03 11:14:40.000128,298.46,298.48,0,2020-01-03
2020-01-03 11:14:45,N,AAPL,298.46,2.0,298.48,2.0,0.0,0.0,2020-01-03 11:14:45.299014,298.46,298.48,0,2020-01-03
2020-01-03 11:14:50,N,AAPL,298.46,2.0,298.48,2.0,-2.0,0.0,2020-01-03 11:14:50.108132,298.42,298.44,-1,2020-01-03
2020-01-03 11:14:55,N,AAPL,298.42,1.0,298.44,3.0,-1.0,1.0,2020-01-03 11:14:55.513249,298.43,298.47,0,2020-01-03
2020-01-03 11:15:00,Z,AAPL,298.43,4.0,298.47,2.0,0.0,0.0,2020-01-03 11:15:00.195450,298.38,298.41,-1,2020-01-03
2020-01-03 11:15:05,K,AAPL,298.38,2.0,298.41,1.0,0.0,0.0,2020-01-03 11:15:05.054189,298.44,298.47,1,2020-01-03
2020-01-03 11:15:10,Z,AAPL,298.44,1.0,298.47,1.0,0.0,-1.0,2020-01-03 11:15:10.011763,298.46,298.5,0,2020-01-03
2020-01-03 11:15:15,Z,AAPL,298.46,2.0,298.5,4.0,1.0,1.0,2020-01-03 11:15:15.220295,298.42,298.44,-1,2020-01-03
2020-01-03 11:15:20,Z,AAPL,298.42,3.0,298.44,1.0,0.0,-1.0,2020-01-03 11:15:20.620465,298.41,298.43,0,2020-01-03
2020-01-03 11:15:25,Z,AAPL,298.41,1.0,298.43,2.0,0.0,1.0,2020-01-03 11:15:25.355410,298.36,298.39,-1,2020-01-03
2020-01-03 11:15:30,N,AAPL,298.36,1.0,298.39,2.0,-22.0,0.0,2020-01-03 11:15:30.128241,298.3,298.32,-1,2020-01-03
2020-01-03 11:15:35,Z,AAPL,298.3,3.0,298.32,3.0,0.0,1.0,2020-01-03 11:15:35.094686,298.31,298.35,0,2020-01-03
2020-01-03 11:15:40,Z,AAPL,298.31,5.0,298.35,2.0,4.0,0.0,2020-01-03 11:15:40.024017,298.37,298.4,1,2020-01-03
